,species,No_of_images
0,Apis mellifera,49605
1,NaN,30032
2,Bombus pascuorum,12455
3,Bombus lapidarius,5816
4,Bombus hypnorum,5204
5,Bombus terrestris,4633
6,Xylocopa violacea,4042
7,Bombus pratorum,2920
8,Osmia bicornis,2582
9,Andrena fulva,2331
10,Osmia cornuta,2209
11,Andrena cineraria,1686
12,Halictus scabiosae,1618
13,Andrena haemorrhoa,1372
14,Anthidium manicatum,1289
15,Colletes hederae,1097
16,Anthophora plumipes,1041
17,Bombus hortorum,1015
18,Dasypoda hirtipes,797
19,Andrena vaga,755
20,Colletes cunicularius,725
21,Bombus lucorum,720
22,Anthidium florentinum,701
23,Bombus sylvarum,677
24,Bombus rupestris,634
25,Andrena hattorfiana,525
26,Ceratina cucurbitina,487
27,Bombus vestalis,483
28,Andrena clarkella,457
29,Bombus humilis,437
30,Sphecodes albilabris,436
31,Andrena flavipes,408
32,Apis mellifera iberiensis,370
33,Bombus campestris,360
34,Andrena nitida,342
35,Megachile sculpturalis,337
36,Osmia bicolor,274
37,Macropis europaea,254
38,Andrena nigroaenea,240
39,Bombus argillaceus,239
40,Nomada goodeniana,231
41,Andrena florea,230
42,Amegilla quadrifasciata,224
43,Megachile ericetorum,222
44,Xylocopa valga,217
45,Bombus terrestris lusitanicus,215
46,Rhodanthidium septemdentatum,211
47,Bombus bohemicus,190
48,Halictus rubicundus,184
49,Melecta albifrons,181
50,Chelostoma florisomne,170
51,Anthidium oblongatum,165
52,Anthidium septemspinosum,164
53,Rhodanthidium sticticum,162
54,Anthidiellum strigatum,157
55,Andrena agilissima,154
56,Anthophora bimaculata,153
57,Andrena ventralis,147
58,Andrena bicolor,146
59,Heriades truncorum,146
60,Hylaeus variegatus,143
61,Osmia caerulescens,141
62,Bombus ruderatus,140
63,Megachile centuncularis,133
64,Lithurgus chrysurus,132
65,Osmia aurulenta,129
66,Andrena nycthemera,128
67,Nomada lathburiana,123
68,Andrena gravida,120
69,Halictus sexcinctus,117
70,Bombus muscorum,117
71,Anthophora furcata,116
72,Andrena denticulata,109
73,Andrena thoracica,101
