Apis mellifera,49605
NaN,30032
Bombus pascuorum,12455
Bombus lapidarius,5816
Bombus hypnorum,5204
Bombus terrestris,4633
Xylocopa violacea,4042
Bombus pratorum,2920
Osmia bicornis,2582
Andrena fulva,2331
Osmia cornuta,2209
Andrena cineraria,1686
Halictus scabiosae,1618
Andrena haemorrhoa,1372
Anthidium manicatum,1289
Colletes hederae,1097
Anthophora plumipes,1041
Bombus hortorum,1015
Dasypoda hirtipes,797
Andrena vaga,755
Colletes cunicularius,725
Bombus lucorum,720
Anthidium florentinum,701
Bombus sylvarum,677
Bombus rupestris,634
Andrena hattorfiana,525
Ceratina cucurbitina,487
Bombus vestalis,483
Andrena clarkella,457
Bombus humilis,437
Sphecodes albilabris,436
Andrena flavipes,408
Apis mellifera iberiensis,370
Bombus campestris,360
Andrena nitida,342
Megachile sculpturalis,337
Osmia bicolor,274
Macropis europaea,254
Andrena nigroaenea,240
Bombus argillaceus,239
Nomada goodeniana,231
Andrena florea,230
Amegilla quadrifasciata,224
Megachile ericetorum,222
Xylocopa valga,217
Bombus terrestris lusitanicus,215
Rhodanthidium septemdentatum,211
Bombus bohemicus,190
Halictus rubicundus,184
Melecta albifrons,181
Chelostoma florisomne,170
Anthidium oblongatum,165
Anthidium septemspinosum,164
Rhodanthidium sticticum,162
Anthidiellum strigatum,157
Andrena agilissima,154
Anthophora bimaculata,153
Andrena ventralis,147
Andrena bicolor,146
Heriades truncorum,146
Hylaeus variegatus,143
Osmia caerulescens,141
Bombus ruderatus,140
Megachile centuncularis,133
Lithurgus chrysurus,132
Osmia aurulenta,129
Andrena nycthemera,128
Nomada lathburiana,123
Andrena gravida,120
Halictus sexcinctus,117
Bombus muscorum,117
Anthophora furcata,116
Andrena denticulata,109
Andrena thoracica,101
